"","region","id"
"462664","SouthernAfrica","MDG"
"37441","CentralAmerica","MEX"
"192548","EasternEurope","MKD"
"305356","WesternAfrica","MLI"
"182867","SouthernEurope","MLT"
"628532","South-EasternAsia","MMR"
"191187","EasternEurope","MNE"
"591092","EasternAsia","MNG"
"425372","SouthernAfrica","MOZ"
"317836","WesternAfrica","MRT"
"470984","SouthernAfrica","MUS"
"437852","SouthernAfrica","MWI"
"657652","South-EasternAsia","MYS"
"446172","SouthernAfrica","NAM"
"321996","WesternAfrica","NER"
"359436","WesternAfrica","NGA"
"54081","CentralAmerica","NIC"
"124801","WesternEurope","NLD"
"276236","NorthernEurope","NOR"
"636852","SouthernAsia","NPL"
"684645","Oceania","NZL"
"559307","WesternAsia","OMN"
"620212","SouthernAsia","PAK"
"62401","CentralAmerica","PAN"
"87361","SouthAmerica","PER"
"665972","South-EasternAsia","PHL"
"680485","Oceania","PNG"
"158531","EasternEurope","POL"
"599412","EasternAsia","PRK"
"149761","SouthernEurope","PRT"
"99841","SouthAmerica","PRY"
"550987","WesternAsia","QAT"
"228708","EasternEurope","ROU"
"232868","EasternEurope","RUS"
"401036","EasternAfrica","RWA"
"533897","WesternAsia","SAU"
"491784","EasternAfrica","SDN"
"309516","WesternAfrica","SEN"
"661812","South-EasternAsia","SGP"
"688805","Oceania","SLB"
"342796","WesternAfrica","SLE"
"49921","CentralAmerica","SLV"
"405196","EasternAfrica","SOM"
"199787","EasternEurope","SRB"
"495944","EasternAfrica","SSD"
"79041","SouthAmerica","SUR"
"175171","EasternEurope","SVK"
"208667","EasternEurope","SVN"
"272076","NorthernEurope","SWE"
"458504","SouthernAfrica","SWZ"
"513097","WesternAsia","SYR"
"371916","MiddleAfrica","TCD"
"351116","WesternAfrica","TGO"
"641012","South-EasternAsia","THA"
"571488","CentralAsia","TJK"
"567627","CentralAsia","TKM"
"674292","South-EasternAsia","TLS"
"29121","Caribbean","TTO"
"483464","NorthernAfrica","TUN"
"500617","WesternAsia","TUR"
"595252","EasternAsia","TWN"
"392716","EasternAfrica","TZA"
"384396","EasternAfrica","UGA"
"248611","EasternEurope","UKR"
"112321","SouthAmerica","URY"
"1","NorthernAmerica","USA"
"579210","CentralAsia","UZB"
"70721","SouthAmerica","VEN"
"653492","South-EasternAsia","VNM"
"538356","WesternAsia","YEM"
"542368","WesternAsia","YMD"
"199784","EasternEurope","YUG"
"442012","SouthernAfrica","ZAF"
"429532","SouthernAfrica","ZMB"
"433692","SouthernAfrica","ZWE"
"157933","WesternEurope",NA
"207644","EasternEurope",NA
"529737","WesternAsia",NA
