"","or_region","as_region","year","tot_compl","or_lat","or_long","as_lat","as_long"
"2747","South-EasternAsia","South-EasternAsia",1997,72699,3,114,3,114
"2767","SouthAmerica","SouthAmerica",1997,66,-25,-65,-25,-65
"2787","SouthernAfrica","SouthernAfrica",1997,140,-23,30,-23,30
"2807","SouthernAsia","SouthernAsia",1997,6146,23,79,23,79
"2827","SouthernEurope","SouthernEurope",1997,0,40,9,40,9
"2847","WesternAfrica","WesternAfrica",1997,13656,11,1,11,1
"2867","WesternAsia","WesternAsia",1997,64310,24,42,24,42
"2887","WesternEurope","WesternEurope",1997,16.5,50,5,50,5
"2888","Caribbean","Caribbean",1998,22.5,21,-78,21,-78
"2908","CentralAmerica","CentralAmerica",1998,17.5,16,-93,16,-93
"2928","CentralAsia","CentralAsia",1998,10999,42,67,42,67
"2948","EasternAfrica","EasternAfrica",1998,93763,3,40,3,40
"2968","EasternAsia","EasternAsia",1998,1,41,116,41,116
"2988","EasternEurope","EasternEurope",1998,30253.5,51,39,51,39
"3008","MiddleAfrica","MiddleAfrica",1998,56314.5,1,17,1,17
"3028","NorthernAfrica","NorthernAfrica",1998,37.5,29,9,29,9
"3048","NorthernAmerica","NorthernAmerica",1998,4,45,-100,45,-100
"3068","NorthernEurope","NorthernEurope",1998,2,59,15,59,15
"3088","Oceania","Oceania",1998,15,-20,135,-20,135
"3108","South-EasternAsia","South-EasternAsia",1998,23822,3,114,3,114
"3128","SouthAmerica","SouthAmerica",1998,345,-25,-65,-25,-65
"3148","SouthernAfrica","SouthernAfrica",1998,211,-23,30,-23,30
"3168","SouthernAsia","SouthernAsia",1998,3845,23,79,23,79
"3188","SouthernEurope","SouthernEurope",1998,0,40,9,40,9
"3208","WesternAfrica","WesternAfrica",1998,111776.5,11,1,11,1
"3228","WesternAsia","WesternAsia",1998,178043.5,24,42,24,42
"3248","WesternEurope","WesternEurope",1998,21.5,50,5,50,5
"3249","Caribbean","Caribbean",1999,28,21,-78,21,-78
"3269","CentralAmerica","CentralAmerica",1999,697,16,-93,16,-93
"3289","CentralAsia","CentralAsia",1999,5098,42,67,42,67
"3309","EasternAfrica","EasternAfrica",1999,81449,3,40,3,40
"3329","EasternAsia","EasternAsia",1999,1,41,116,41,116
"3349","EasternEurope","EasternEurope",1999,54399,51,39,51,39
"3369","MiddleAfrica","MiddleAfrica",1999,51870.5,1,17,1,17
"3389","NorthernAfrica","NorthernAfrica",1999,9,29,9,29,9
"3409","NorthernAmerica","NorthernAmerica",1999,3,45,-100,45,-100
"3429","NorthernEurope","NorthernEurope",1999,3,59,15,59,15
"3449","Oceania","Oceania",1999,0,-20,135,-20,135
"3469","South-EasternAsia","South-EasternAsia",1999,28.5,3,114,3,114
"3489","SouthAmerica","SouthAmerica",1999,105,-25,-65,-25,-65
"3509","SouthernAfrica","SouthernAfrica",1999,7,-23,30,-23,30
"3529","SouthernAsia","SouthernAsia",1999,1925,23,79,23,79
"3549","SouthernEurope","SouthernEurope",1999,0,40,9,40,9
"3569","WesternAfrica","WesternAfrica",1999,85128.5,11,1,11,1
"3589","WesternAsia","WesternAsia",1999,104726,24,42,24,42
"3609","WesternEurope","WesternEurope",1999,25,50,5,50,5
"3610","Caribbean","Caribbean",2000,29,21,-78,21,-78
"3630","CentralAmerica","CentralAmerica",2000,122,16,-93,16,-93
"3650","CentralAsia","CentralAsia",2000,204718,42,67,42,67
"3670","EasternAfrica","EasternAfrica",2000,101437,3,40,3,40
"3690","EasternAsia","EasternAsia",2000,26,41,116,41,116
"3710","EasternEurope","EasternEurope",2000,626,51,39,51,39
"3730","MiddleAfrica","MiddleAfrica",2000,124632.5,1,17,1,17
"3750","NorthernAfrica","NorthernAfrica",2000,26,29,9,29,9
"3770","NorthernAmerica","NorthernAmerica",2000,135,45,-100,45,-100
"3790","NorthernEurope","NorthernEurope",2000,1,59,15,59,15
"3810","Oceania","Oceania",2000,0,-20,135,-20,135
"3830","South-EasternAsia","South-EasternAsia",2000,5817.5,3,114,3,114
"3850","SouthAmerica","SouthAmerica",2000,1303,-25,-65,-25,-65
"3870","SouthernAfrica","SouthernAfrica",2000,1614,-23,30,-23,30
"3890","SouthernAsia","SouthernAsia",2000,1329,23,79,23,79
"3910","SouthernEurope","SouthernEurope",2000,0,40,9,40,9
"3930","WesternAfrica","WesternAfrica",2000,3713,11,1,11,1
"3950","WesternAsia","WesternAsia",2000,125377.5,24,42,24,42
"3970","WesternEurope","WesternEurope",2000,19.5,50,5,50,5
"3971","Caribbean","Caribbean",2001,12,21,-78,21,-78
"3991","CentralAmerica","CentralAmerica",2001,76,16,-93,16,-93
"4011","CentralAsia","CentralAsia",2001,1412.5,42,67,42,67
"4031","EasternAfrica","EasternAfrica",2001,44450,3,40,3,40
"4051","EasternAsia","EasternAsia",2001,1,41,116,41,116
"4071","EasternEurope","EasternEurope",2001,10383,51,39,51,39
"4091","MiddleAfrica","MiddleAfrica",2001,37192.5,1,17,1,17
"4111","NorthernAfrica","NorthernAfrica",2001,13,29,9,29,9
"4131","NorthernAmerica","NorthernAmerica",2001,43,45,-100,45,-100
"4151","NorthernEurope","NorthernEurope",2001,3,59,15,59,15
"4171","Oceania","Oceania",2001,1,-20,135,-20,135
"4191","South-EasternAsia","South-EasternAsia",2001,5781.5,3,114,3,114
"4211","SouthAmerica","SouthAmerica",2001,307,-25,-65,-25,-65
"4231","SouthernAfrica","SouthernAfrica",2001,9,-23,30,-23,30
"4251","SouthernAsia","SouthernAsia",2001,1889,23,79,23,79
"4271","SouthernEurope","SouthernEurope",2001,0,40,9,40,9
"4291","WesternAfrica","WesternAfrica",2001,16130.5,11,1,11,1
"4311","WesternAsia","WesternAsia",2001,260066.5,24,42,24,42
"4331","WesternEurope","WesternEurope",2001,33.5,50,5,50,5
"4332","Caribbean","Caribbean",2002,2,21,-78,21,-78
"4352","CentralAmerica","CentralAmerica",2002,22,16,-93,16,-93
"4372","CentralAsia","CentralAsia",2002,9211,42,67,42,67
"4392","EasternAfrica","EasternAfrica",2002,58888,3,40,3,40
"4412","EasternAsia","EasternAsia",2002,6,41,116,41,116
"4432","EasternEurope","EasternEurope",2002,346,51,39,51,39
"4452","MiddleAfrica","MiddleAfrica",2002,26085,1,17,1,17
"4472","NorthernAfrica","NorthernAfrica",2002,10,29,9,29,9
"4511","NorthernEurope","NorthernEurope",2002,1,59,15,59,15
"4531","Oceania","Oceania",2002,11,-20,135,-20,135
"4551","South-EasternAsia","South-EasternAsia",2002,2250.5,3,114,3,114
"4571","SouthAmerica","SouthAmerica",2002,1606,-25,-65,-25,-65
"4591","SouthernAfrica","SouthernAfrica",2002,33,-23,30,-23,30
"4611","SouthernAsia","SouthernAsia",2002,1484,23,79,23,79
"4631","SouthernEurope","SouthernEurope",2002,0,40,9,40,9
"4651","WesternAfrica","WesternAfrica",2002,128180,11,1,11,1
"4671","WesternAsia","WesternAsia",2002,60786,24,42,24,42
"4691","WesternEurope","WesternEurope",2002,49,50,5,50,5
"4692","Caribbean","Caribbean",2003,44,21,-78,21,-78
"4712","CentralAmerica","CentralAmerica",2003,195,16,-93,16,-93
"4732","CentralAsia","CentralAsia",2003,28.5,42,67,42,67
"4752","EasternAfrica","EasternAfrica",2003,29650,3,40,3,40
"4772","EasternAsia","EasternAsia",2003,2,41,116,41,116
"4792","EasternEurope","EasternEurope",2003,2112,51,39,51,39
"4812","MiddleAfrica","MiddleAfrica",2003,17610,1,17,1,17
"4832","NorthernAfrica","NorthernAfrica",2003,2,29,9,29,9
"4871","NorthernEurope","NorthernEurope",2003,7,59,15,59,15
"4891","Oceania","Oceania",2003,7,-20,135,-20,135
"4911","South-EasternAsia","South-EasternAsia",2003,9603,3,114,3,114
"4931","SouthAmerica","SouthAmerica",2003,3379,-25,-65,-25,-65
"4951","SouthernAfrica","SouthernAfrica",2003,38,-23,30,-23,30
"4971","SouthernAsia","SouthernAsia",2003,2,23,79,23,79
"4991","SouthernEurope","SouthernEurope",2003,0,40,9,40,9
"5011","WesternAfrica","WesternAfrica",2003,87596,11,1,11,1
"5031","WesternAsia","WesternAsia",2003,57014,24,42,24,42
"5051","WesternEurope","WesternEurope",2003,21.5,50,5,50,5
"5052","Caribbean","Caribbean",2004,3,21,-78,21,-78
"5072","CentralAmerica","CentralAmerica",2004,8,16,-93,16,-93
"5092","CentralAsia","CentralAsia",2004,118145.5,42,67,42,67
"5112","EasternAfrica","EasternAfrica",2004,31395,3,40,3,40
"5132","EasternAsia","EasternAsia",2004,1,41,116,41,116
"5152","EasternEurope","EasternEurope",2004,2551,51,39,51,39
"5172","MiddleAfrica","MiddleAfrica",2004,1523,1,17,1,17
"5192","NorthernAfrica","NorthernAfrica",2004,3,29,9,29,9
"5212","NorthernAmerica","NorthernAmerica",2004,69,45,-100,45,-100
"5232","NorthernEurope","NorthernEurope",2004,0,59,15,59,15
"5252","Oceania","Oceania",2004,4,-20,135,-20,135
"5272","South-EasternAsia","South-EasternAsia",2004,19855,3,114,3,114
"5292","SouthAmerica","SouthAmerica",2004,2483,-25,-65,-25,-65
"5312","SouthernAfrica","SouthernAfrica",2004,55,-23,30,-23,30
"5332","SouthernAsia","SouthernAsia",2004,1298,23,79,23,79
