"","or_region","asylum","as_region","as_iso3c","year","tot_compl"
"2986","South-EasternAsia","Bangladesh","SouthernAsia","BGD",1991,682
"3669","South-EasternAsia","France","WesternEurope","FRA",1991,533
"5812","South-EasternAsia","Bangladesh","SouthernAsia","BGD",1992,204994
"8471","South-EasternAsia","United States","NorthernAmerica","USA",1992,21420
"6818","South-EasternAsia","Indonesia","South-EasternAsia","IDN",1992,1486
"5679","South-EasternAsia","Australia","Oceania","AUS",1992,786
"7806","South-EasternAsia","Papua New Guinea","Oceania","PNG",1992,590
"11568","South-EasternAsia","United States","NorthernAmerica","USA",1993,25338
"11359","South-EasternAsia","Thailand","South-EasternAsia","THA",1993,2438
"10884","South-EasternAsia","Papua New Guinea","Oceania","PNG",1993,986
"8737","South-EasternAsia","Australia","Oceania","AUS",1993,613
"8813","South-EasternAsia","Belgium","WesternEurope","BEL",1993,571
"14741","South-EasternAsia","United States","NorthernAmerica","USA",1994,6145
"13772","South-EasternAsia","Malaysia","South-EasternAsia","MYS",1994,5122
"12727","South-EasternAsia","France","WesternEurope","FRA",1994,1141
"12195","South-EasternAsia","Canada","NorthernAmerica","CAN",1994,1116
"11834","South-EasternAsia","Australia","Oceania","AUS",1994,911
"17970","South-EasternAsia","Viet Nam","South-EasternAsia","VNM",1995,29400
"15899","South-EasternAsia","France","WesternEurope","FRA",1995,16347
"17704","South-EasternAsia","Thailand","South-EasternAsia","THA",1995,12488
"16944","South-EasternAsia","Malaysia","South-EasternAsia","MYS",1995,2254
"17210","South-EasternAsia","Papua New Guinea","Oceania","PNG",1995,1144
"20876","South-EasternAsia","Thailand","South-EasternAsia","THA",1996,9123
"20116","South-EasternAsia","Malaysia","South-EasternAsia","MYS",1996,4386
"18596","South-EasternAsia","China","EasternAsia","CHN",1996,1880
"18179","South-EasternAsia","Australia","Oceania","AUS",1996,1355
"20382","South-EasternAsia","Papua New Guinea","Oceania","PNG",1996,575
"24046","South-EasternAsia","Thailand","South-EasternAsia","THA",1997,63419
"23287","South-EasternAsia","Malaysia","South-EasternAsia","MYS",1997,9279
"21767","South-EasternAsia","China","EasternAsia","CHN",1997,1684
"24255","South-EasternAsia","United States","NorthernAmerica","USA",1997,375
"21312","South-EasternAsia","Argentina","SouthAmerica","ARG",1997,371
"26457","South-EasternAsia","Malaysia","South-EasternAsia","MYS",1998,23821
"24938","South-EasternAsia","China","EasternAsia","CHN",1998,1455
"24654","South-EasternAsia","Bangladesh","SouthernAsia","BGD",1998,677
"24483","South-EasternAsia","Argentina","SouthAmerica","ARG",1998,673
"25166","South-EasternAsia","Germany","WesternEurope","DEU",1998,560
"30598","South-EasternAsia","United States","NorthernAmerica","USA",1999,2355
"28375","South-EasternAsia","Denmark","NorthernEurope","DNK",1999,1786
"29743","South-EasternAsia","Norway","NorthernEurope","NOR",1999,1374
"28337","South-EasternAsia","Germany","WesternEurope","DEU",1999,1140
"28109","South-EasternAsia","China","EasternAsia","CHN",1999,911
"33562","South-EasternAsia","Thailand","South-EasternAsia","THA",2000,4861
"31510","South-EasternAsia","Germany","WesternEurope","DEU",2000,2402
"33771","South-EasternAsia","United States","NorthernAmerica","USA",2000,2146
"33828","South-EasternAsia","Viet Nam","South-EasternAsia","VNM",2000,945
"31282","South-EasternAsia","China","EasternAsia","CHN",2000,837
"34683","South-EasternAsia","Germany","WesternEurope","DEU",2001,6724
"36732","South-EasternAsia","Thailand","South-EasternAsia","THA",2001,5752
"36940","South-EasternAsia","United States","NorthernAmerica","USA",2001,3165
"34455","South-EasternAsia","China","EasternAsia","CHN",2001,1586
"34170","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2001,550
"37851","South-EasternAsia","Germany","WesternEurope","DEU",2002,17039
"37623","South-EasternAsia","China","EasternAsia","CHN",2002,1985
"39903","South-EasternAsia","Thailand","South-EasternAsia","THA",2002,1925
"40111","South-EasternAsia","United States","NorthernAmerica","USA",2002,1118
"39143","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2002,175
"43074","South-EasternAsia","Thailand","South-EasternAsia","THA",2003,6532
"42314","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2003,3067
"42580","South-EasternAsia","Papua New Guinea","Oceania","PNG",2003,2550
"40794","South-EasternAsia","China","EasternAsia","CHN",2003,2496
"40377","South-EasternAsia","Australia","Oceania","AUS",2003,689
"45501","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2004,17447
"46489","South-EasternAsia","United States","NorthernAmerica","USA",2004,6565
"46261","South-EasternAsia","Thailand","South-EasternAsia","THA",2004,2072
"43565","South-EasternAsia","Australia","Oceania","AUS",2004,742
"43698","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2004,659
"49679","South-EasternAsia","United States","NorthernAmerica","USA",2005,10028
"47400","South-EasternAsia","Germany","WesternEurope","DEU",2005,9780
"48692","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2005,8607
"48958","South-EasternAsia","Papua New Guinea","Oceania","PNG",2005,2365
"47173","South-EasternAsia","China","EasternAsia","CHN",2005,1625
"52869","South-EasternAsia","United States","NorthernAmerica","USA",2006,46617
"52641","South-EasternAsia","Thailand","South-EasternAsia","THA",2006,16020
"51881","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2006,7371
"50078","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2006,5215
"50590","South-EasternAsia","Germany","WesternEurope","DEU",2006,3687
"55090","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2007,7955
"53779","South-EasternAsia","Germany","WesternEurope","DEU",2007,2392
"53267","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2007,1276
"56077","South-EasternAsia","United States","NorthernAmerica","USA",2007,674
"53495","South-EasternAsia","Canada","NorthernAmerica","CAN",2007,232
"58299","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2008,4316
"56988","South-EasternAsia","Germany","WesternEurope","DEU",2008,960
"56476","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2008,793
"59286","South-EasternAsia","United States","NorthernAmerica","USA",2008,548
"57729","South-EasternAsia","Japan","EasternAsia","JPN",2008,375
"59685","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2009,200220
"61507","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2009,27890
"60196","South-EasternAsia","Germany","WesternEurope","DEU",2009,11227
"60766","South-EasternAsia","India","SouthernAsia","IND",2009,985
"60937","South-EasternAsia","Japan","EasternAsia","JPN",2009,450
"64716","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2010,14787
"63975","South-EasternAsia","India","SouthernAsia","IND",2010,1678
"62894","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2010,669
"64146","South-EasternAsia","Japan","EasternAsia","JPN",2010,274
"63690","South-EasternAsia","United Kingdom","WesternEurope","GBR",2010,172
"67925","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2011,5080
"67184","South-EasternAsia","India","SouthernAsia","IND",2011,1991
"66102","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2011,418
"66899","South-EasternAsia","United Kingdom","WesternEurope","GBR",2011,264
"67355","South-EasternAsia","Japan","EasternAsia","JPN",2011,178
"71135","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2012,3589
"70394","South-EasternAsia","India","SouthernAsia","IND",2012,1050
"69311","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2012,1030
"70375","South-EasternAsia","Indonesia","South-EasternAsia","IDN",2012,142
"70109","South-EasternAsia","United Kingdom","WesternEurope","GBR",2012,102
"75134","South-EasternAsia","Thailand","South-EasternAsia","THA",2013,52186
"74356","South-EasternAsia","Malaysia","South-EasternAsia","MYS",2013,7627
"73617","South-EasternAsia","India","SouthernAsia","IND",2013,3451
"73598","South-EasternAsia","Indonesia","South-EasternAsia","IDN",2013,559
"72541","South-EasternAsia","Bangladesh","SouthernAsia","BGD",2013,451
"5071","Oceania","Solomon Islands","Oceania","SLB",1991,91
"8052","Oceania","Solomon Islands","Oceania","SLB",1992,185
"11130","Oceania","Solomon Islands","Oceania","SLB",1993,219
"11567","Oceania","United States","NorthernAmerica","USA",1993,70
"14284","Oceania","Solomon Islands","Oceania","SLB",1994,407
"17456","Oceania","Solomon Islands","Oceania","SLB",1995,586
"17912","Oceania","United States","NorthernAmerica","USA",1995,76
"21083","Oceania","United States","NorthernAmerica","USA",1996,89
"33770","Oceania","United States","NorthernAmerica","USA",2000,80
"36939","Oceania","United States","NorthernAmerica","USA",2001,310
"40110","Oceania","United States","NorthernAmerica","USA",2002,198
"37565","Oceania","Canada","NorthernAmerica","CAN",2002,140
"40736","Oceania","Canada","NorthernAmerica","CAN",2003,140
"43925","Oceania","Canada","NorthernAmerica","CAN",2004,120
"46488","Oceania","United States","NorthernAmerica","USA",2004,73
"49678","Oceania","United States","NorthernAmerica","USA",2005,72
"52868","Oceania","United States","NorthernAmerica","USA",2006,301
"53494","Oceania","Canada","NorthernAmerica","CAN",2007,62
"53133","Oceania","Australia","Oceania","AUS",2007,61
"62760","Oceania","Australia","Oceania","AUS",2010,83
"65968","Oceania","Australia","Oceania","AUS",2011,108
"69177","Oceania","Australia","Oceania","AUS",2012,114
"72407","Oceania","Australia","Oceania","AUS",2013,92
